time;vx;ax;vy;ay;vz;az;;;Standing by (on table) with Updated Kalman Filter;;;;;;;;;;
30,5;-0,1;4,1;-0,3;-1,9;0,3;3,2;;;;;;;;;;;;;
30,6;-0,1;3,1;-0,3;-4,2;0,4;4,7;;;;;;;;;;;;;
30,7;0;2,7;-0,3;-5,8;0,3;1,2;;;;;;;;;;;;;
30,8;-0,1;-2,6;-0,3;-2,3;0,4;6,9;;;;;;;;;;;;;
30,9;0;0;-0,3;-0,3;0,4;3,9;;;;;;;;;;;;;
31;-0,1;-1,6;-0,3;-2,5;0,4;5,5;;;;;;;;;;;;;
31,1;0;2,6;-0,3;-0,7;0,4;8;;;;;;;;;;;;;
31,2;0;2,5;-0,3;-3,8;0,4;7,7;;;;;;;;;;;;;
31,3;0;-1;-0,3;-1,8;0,4;1,8;;;;;;;;;;;;;
31,4;0;6,6;-0,3;1,7;0,4;-2,3;;;;;;;;;;;;;
31,5;0;-0,2;-0,3;-4,8;0,4;2,7;;;;;;;;;;;;;
31,6;0;3,3;-0,3;0,7;0,4;3;;;;;;;;;;;;;
31,7;0;5,6;-0,3;0,6;0,4;4,5;;;;;;;;;;;;;
31,8;0;6,7;-0,3;0,7;0,3;-1,6;;;;;;;;;;;;;
31,9;0;1,9;-0,3;-2,2;0,4;6,6;;;;;;;;;;;;;
32;0;7,3;-0,2;-0,4;0,3;1,5;;;;;;;;;;;;;
32,1;0,1;11,4;-0,3;-4,1;0,4;5,5;;;;;;;;;;;;;
32,2;0,1;6;-0,2;1,8;0,3;-1,6;;;;;;;;;;;;;
32,3;0,1;9,8;-0,2;-3,1;0,3;3,8;;;;;;;;;;;;;
32,4;0,1;5,7;-0,2;-3,6;0,3;4,7;;;;;;;;;;;;;
32,5;0,1;4,8;-0,2;-1,7;0,3;-2,9;;;;;;;;;;;;;
32,6;0,1;6;-0,2;-4,8;0,3;-1,1;;;;;;;;;;;;;
32,7;0,1;4,8;-0,2;-2,1;0,3;0,5;;;;;;;;;;;;;
32,8;0,1;5,6;-0,2;-0,3;0,3;9,2;;;;;;;;;;;;;
32,9;0,1;6,6;-0,2;-1,4;0,3;3,6;;;;;;;;;;;;;
33;0,2;6,7;-0,2;-1,4;0,3;4,7;;;;;;;;;;;;;
33,1;0,1;-1,6;-0,2;2;0,3;2,7;;;;;;;;;;;;;
33,2;0,1;1,7;-0,2;-5,7;0,3;5,4;;;;;;;;;;;;;
33,3;0,1;-3,9;-0,2;-1,7;0,4;9;;;;;;;;;;;;;
